state,answer_set,who_vote_for,count,n_respondents,pct_of_respondents
0_ALL_STATES,all-surveys,Donald J. Trump,20254,40121,0.5048229106951472
0_ALL_STATES,all-surveys,Joe Biden,6954,40121,0.1733256897883901
0_ALL_STATES,all-surveys,Wouldn't vote,4610,40121,0.11490242017895864
0_ALL_STATES,all-surveys,Third-Party Candidate,4179,40121,0.10415991625333366
0_ALL_STATES,all-surveys,Don't know,3562,40121,0.08878143615562922
CA,all-surveys,Donald J. Trump,3066,7660,0.4002610966057441
NC,all-surveys,Donald J. Trump,2779,4982,0.5578081091930951
AZ,all-surveys,Donald J. Trump,2530,6058,0.41762958071970946
CA,all-surveys,Joe Biden,1883,7660,0.245822454308094
AZ,all-surveys,Joe Biden,1501,6058,0.24777154176295807
OH,all-surveys,Donald J. Trump,1211,2158,0.5611677479147359
WA,all-surveys,Donald J. Trump,1170,2166,0.5401662049861495
KY,all-surveys,Donald J. Trump,991,1668,0.5941247002398081
CA,all-surveys,Third-Party Candidate,980,7660,0.1279373368146214
CA,all-surveys,Wouldn't vote,820,7660,0.10704960835509138
CA,all-surveys,Don't know,815,7660,0.10639686684073107
NC,all-surveys,Joe Biden,770,4982,0.15455640305098353
AZ,all-surveys,Wouldn't vote,760,6058,0.12545394519643446
OK,all-surveys,Donald J. Trump,726,1553,0.46748229233741145
AR,all-surveys,Donald J. Trump,667,1189,0.5609756097560976
AZ,all-surveys,Third-Party Candidate,661,6058,0.10911191812479366
SC,all-surveys,Donald J. Trump,660,1146,0.5759162303664922
WV,all-surveys,Donald J. Trump,653,962,0.6787941787941788
PA,all-surveys,Donald J. Trump,536,920,0.5826086956521739
TX,all-surveys,Donald J. Trump,522,882,0.5918367346938775
NC,all-surveys,Don't know,515,4982,0.10337213970293055
AZ,all-surveys,Don't know,497,6058,0.08204027731924728
IL,all-surveys,Donald J. Trump,491,844,0.5817535545023697
NC,all-surveys,Wouldn't vote,474,4982,0.0951425130469691
AL,all-surveys,Donald J. Trump,408,771,0.5291828793774319
NC,all-surveys,Third-Party Candidate,365,4982,0.0732637494981935
NY,all-surveys,Donald J. Trump,349,626,0.5575079872204473
OR,all-surveys,Donald J. Trump,330,665,0.49624060150375937
NE,all-surveys,Donald J. Trump,326,710,0.4591549295774648
MI,all-surveys,Donald J. Trump,324,570,0.5684210526315789
MA,all-surveys,Donald J. Trump,305,565,0.5398230088495575
CO,all-surveys,Donald J. Trump,291,545,0.5339449541284403
WA,all-surveys,Third-Party Candidate,278,2166,0.1283471837488458
OH,all-surveys,Joe Biden,267,2158,0.123725671918443
WA,all-surveys,Joe Biden,263,2166,0.12142197599261312
WA,all-surveys,Wouldn't vote,260,2166,0.12003693444136658
GA,all-surveys,Donald J. Trump,257,414,0.6207729468599034
OK,all-surveys,Joe Biden,253,1553,0.16291049581455247
OH,all-surveys,Wouldn't vote,252,2158,0.11677479147358666
VA,all-surveys,Donald J. Trump,248,431,0.5754060324825986
OK,all-surveys,Wouldn't vote,229,1553,0.14745653573728268
OH,all-surveys,Third-Party Candidate,222,2158,0.10287303058387395
SD,all-surveys,Donald J. Trump,222,531,0.4180790960451977
KY,all-surveys,Joe Biden,204,1668,0.1223021582733813
MT,all-surveys,Donald J. Trump,198,311,0.6366559485530546
OK,all-surveys,Third-Party Candidate,188,1553,0.1210560206052801
KY,all-surveys,Third-Party Candidate,182,1668,0.1091127098321343
KY,all-surveys,Wouldn't vote,181,1668,0.10851318944844125
OH,all-surveys,Don't know,177,2158,0.08202038924930491
AR,all-surveys,Joe Biden,169,1189,0.1421362489486964
WA,all-surveys,Don't know,160,2166,0.07386888273314866
FL,all-surveys,Donald J. Trump,155,244,0.6352459016393442
SC,all-surveys,Joe Biden,149,1146,0.1300174520069808
OK,all-surveys,Don't know,144,1553,0.0927237604636188
PA,all-surveys,Wouldn't vote,130,920,0.14130434782608695
AR,all-surveys,Third-Party Candidate,127,1189,0.10681244743481917
AR,all-surveys,Wouldn't vote,121,1189,0.10176619007569386
NJ,all-surveys,Donald J. Trump,116,214,0.5420560747663551
ME,all-surveys,Donald J. Trump,115,201,0.572139303482587
SC,all-surveys,Don't know,113,1146,0.09860383944153578
SC,all-surveys,Wouldn't vote,113,1146,0.09860383944153578
PA,all-surveys,Joe Biden,112,920,0.12173913043478261
TX,all-surveys,Joe Biden,112,882,0.12698412698412698
NE,all-surveys,Joe Biden,109,710,0.15352112676056337
NE,all-surveys,Wouldn't vote,109,710,0.15352112676056337
TX,all-surveys,Wouldn't vote,108,882,0.12244897959183673
IL,all-surveys,Joe Biden,106,844,0.12559241706161137
UT,all-surveys,Donald J. Trump,105,174,0.603448275862069
AL,all-surveys,Joe Biden,103,771,0.13359273670557717
OR,all-surveys,Third-Party Candidate,103,665,0.1548872180451128
IL,all-surveys,Don't know,102,844,0.12085308056872038
KY,all-surveys,Don't know,101,1668,0.0605515587529976
MA,all-surveys,Joe Biden,101,565,0.17876106194690267
OR,all-surveys,Joe Biden,100,665,0.15037593984962405
SC,all-surveys,Third-Party Candidate,98,1146,0.08551483420593368
WV,all-surveys,Wouldn't vote,97,962,0.10083160083160084
NH,all-surveys,Donald J. Trump,93,168,0.5535714285714286
SD,all-surveys,Joe Biden,92,531,0.17325800376647835
AL,all-surveys,Third-Party Candidate,91,771,0.11802853437094682
AR,all-surveys,Don't know,90,1189,0.07569386038687972
NE,all-surveys,Third-Party Candidate,90,710,0.1267605633802817
NY,all-surveys,Joe Biden,89,626,0.14217252396166133
SD,all-surveys,Wouldn't vote,88,531,0.1657250470809793
MO,all-surveys,Donald J. Trump,87,159,0.5471698113207547
NM,all-surveys,Donald J. Trump,87,174,0.5
0_ALL_STATES,all-surveys,"Don't know, Donald J. Trump",84,40121,0.0020936666583584655
MI,all-surveys,Joe Biden,82,570,0.14385964912280702
OR,all-surveys,Wouldn't vote,82,665,0.12330827067669173
AL,all-surveys,Wouldn't vote,78,771,0.10116731517509728
NY,all-surveys,Wouldn't vote,78,626,0.12460063897763578
AL,all-surveys,Don't know,76,771,0.09857328145265888
0_ALL_STATES,all-surveys,"Donald J. Trump, Wouldn't vote",75,40121,0.0018693452306772014
TX,all-surveys,Don't know,75,882,0.08503401360544217
WV,all-surveys,Third-Party Candidate,74,962,0.07692307692307693
PA,all-surveys,Third-Party Candidate,73,920,0.07934782608695652
CO,all-surveys,Wouldn't vote,72,545,0.13211009174311927
IN,all-surveys,Donald J. Trump,71,119,0.5966386554621849
WV,all-surveys,Joe Biden,71,962,0.07380457380457381
IL,all-surveys,Wouldn't vote,70,844,0.08293838862559241
0_ALL_STATES,all-surveys,"Don't know, Wouldn't vote",68,40121,0.0016948730091473293
MA,all-surveys,Wouldn't vote,68,565,0.12035398230088495
NE,all-surveys,Don't know,67,710,0.09436619718309859
0_ALL_STATES,all-surveys,"Donald J. Trump, Joe Biden",66,40121,0.0016450238029959373
CO,all-surveys,Joe Biden,65,545,0.11926605504587157
SD,all-surveys,Third-Party Candidate,64,531,0.12052730696798493
0_ALL_STATES,all-surveys,"Donald J. Trump, Third-Party Candidate",59,40121,0.0014705515814660652
MI,all-surveys,Wouldn't vote,59,570,0.10350877192982456
PA,all-surveys,Don't know,59,920,0.0641304347826087
CO,all-surveys,Third-Party Candidate,58,545,0.10642201834862386
IL,all-surveys,Third-Party Candidate,58,844,0.06872037914691943
CO,all-surveys,Don't know,57,545,0.10458715596330276
GA,all-surveys,Wouldn't vote,56,414,0.13526570048309178
TX,all-surveys,Third-Party Candidate,55,882,0.06235827664399093
NY,all-surveys,Don't know,54,626,0.08626198083067092
VA,all-surveys,Wouldn't vote,54,431,0.12529002320185614
0_ALL_STATES,all-surveys,"Don't know, Joe Biden",52,40121,0.001296079359936193
WV,all-surveys,Don't know,52,962,0.05405405405405406
MI,all-surveys,Third-Party Candidate,51,570,0.08947368421052632
NY,all-surveys,Third-Party Candidate,51,626,0.08146964856230032
OR,all-surveys,Don't know,49,665,0.07368421052631578
GA,all-surveys,Joe Biden,47,414,0.11352657004830918
SD,all-surveys,Don't know,47,531,0.08851224105461393
WI,all-surveys,Donald J. Trump,47,105,0.44761904761904764
VA,all-surveys,Joe Biden,46,431,0.10672853828306264
MI,all-surveys,Don't know,45,570,0.07894736842105263
MA,all-surveys,Third-Party Candidate,42,565,0.0743362831858407
VA,all-surveys,Don't know,42,431,0.09744779582366589
0_ALL_STATES,all-surveys,"Joe Biden, Third-Party Candidate",36,40121,0.0008972857107250567
MA,all-surveys,Don't know,36,565,0.06371681415929203
VA,all-surveys,Third-Party Candidate,36,431,0.08352668213457076
MT,all-surveys,Third-Party Candidate,35,311,0.11254019292604502
0_ALL_STATES,all-surveys,"Don't know, Third-Party Candidate",33,40121,0.0008225119014979687
0_ALL_STATES,all-surveys,"Joe Biden, Wouldn't vote",33,40121,0.0008225119014979687
0_ALL_STATES,all-surveys,"Third-Party Candidate, Wouldn't vote",32,40121,0.0007975872984222727
MT,all-surveys,Wouldn't vote,31,311,0.09967845659163987
NJ,all-surveys,Joe Biden,30,214,0.14018691588785046
NJ,all-surveys,Wouldn't vote,30,214,0.14018691588785046
GA,all-surveys,Don't know,27,414,0.06521739130434782
NM,all-surveys,Wouldn't vote,27,174,0.15517241379310345
FL,all-surveys,Joe Biden,26,244,0.10655737704918032
MT,all-surveys,Joe Biden,26,311,0.08360128617363344
ME,all-surveys,Joe Biden,25,201,0.12437810945273632
MO,all-surveys,Wouldn't vote,25,159,0.15723270440251572
NH,all-surveys,Third-Party Candidate,25,168,0.1488095238095238
ME,all-surveys,Third-Party Candidate,24,201,0.11940298507462686
MD,all-surveys,Donald J. Trump,22,47,0.46808510638297873
NM,all-surveys,Joe Biden,22,174,0.12643678160919541
FL,all-surveys,Third-Party Candidate,21,244,0.0860655737704918
FL,all-surveys,Wouldn't vote,21,244,0.0860655737704918
IA,all-surveys,Donald J. Trump,21,49,0.42857142857142855
NJ,all-surveys,Don't know,21,214,0.09813084112149532
WI,all-surveys,Joe Biden,21,105,0.2
GA,all-surveys,Third-Party Candidate,20,414,0.04830917874396135
NH,all-surveys,Wouldn't vote,20,168,0.11904761904761904
AZ,all-surveys,"Donald J. Trump, Wouldn't vote",19,6058,0.0031363486299108615
MS,all-surveys,Donald J. Trump,19,25,0.76
UT,all-surveys,Joe Biden,19,174,0.10919540229885058
ME,all-surveys,Don't know,18,201,0.08955223880597014
NH,all-surveys,Joe Biden,18,168,0.10714285714285714
UT,all-surveys,Third-Party Candidate,18,174,0.10344827586206896
UT,all-surveys,Wouldn't vote,18,174,0.10344827586206896
FL,all-surveys,Don't know,17,244,0.06967213114754098
MO,all-surveys,Joe Biden,17,159,0.1069182389937107
NM,all-surveys,Third-Party Candidate,17,174,0.09770114942528736
CA,all-surveys,"Don't know, Donald J. Trump",16,7660,0.0020887728459530026
IN,all-surveys,Wouldn't vote,16,119,0.13445378151260504
MT,all-surveys,Don't know,16,311,0.05144694533762058
NM,all-surveys,Don't know,16,174,0.09195402298850575
WI,all-surveys,Wouldn't vote,16,105,0.1523809523809524
IN,all-surveys,Joe Biden,15,119,0.12605042016806722
ME,all-surveys,Wouldn't vote,15,201,0.07462686567164178
MO,all-surveys,Don't know,15,159,0.09433962264150944
NJ,all-surveys,Third-Party Candidate,15,214,0.07009345794392523
CA,all-surveys,"Don't know, Joe Biden",13,7660,0.0016971279373368146
KS,all-surveys,Donald J. Trump,13,37,0.35135135135135137
MD,all-surveys,Joe Biden,13,47,0.2765957446808511
NC,all-surveys,"Don't know, Donald J. Trump",13,4982,0.002609393817743878
NC,all-surveys,"Donald J. Trump, Wouldn't vote",13,4982,0.002609393817743878
NV,all-surveys,Donald J. Trump,13,26,0.5
UT,all-surveys,Don't know,13,174,0.07471264367816093
AZ,all-surveys,"Joe Biden, Wouldn't vote",12,6058,0.0019808517662594917
MO,all-surveys,Third-Party Candidate,12,159,0.07547169811320754
NH,all-surveys,Don't know,12,168,0.07142857142857142
AZ,all-surveys,"Don't know, Donald J. Trump",11,6058,0.0018157807857378673
AZ,all-surveys,"Don't know, Wouldn't vote",11,6058,0.0018157807857378673
AZ,all-surveys,"Donald J. Trump, Joe Biden",11,6058,0.0018157807857378673
AZ,all-surveys,"Joe Biden, Third-Party Candidate",11,6058,0.0018157807857378673
CA,all-surveys,"Don't know, Wouldn't vote",11,7660,0.0014360313315926892
NC,all-surveys,"Don't know, Wouldn't vote",11,4982,0.0022079486150140505
NC,all-surveys,"Donald J. Trump, Joe Biden",11,4982,0.0022079486150140505
WI,all-surveys,Third-Party Candidate,11,105,0.10476190476190476
0_ALL_STATES,2024-001,Donald J. Trump,20254,40121,0.5048229106951472
0_ALL_STATES,2024-001,Joe Biden,6954,40121,0.1733256897883901
0_ALL_STATES,2024-001,Wouldn't vote,4610,40121,0.11490242017895864
0_ALL_STATES,2024-001,Third-Party Candidate,4179,40121,0.10415991625333366
0_ALL_STATES,2024-001,Don't know,3562,40121,0.08878143615562922
CA,2024-001,Donald J. Trump,3066,7660,0.4002610966057441
NC,2024-001,Donald J. Trump,2779,4982,0.5578081091930951
AZ,2024-001,Donald J. Trump,2530,6058,0.41762958071970946
CA,2024-001,Joe Biden,1883,7660,0.245822454308094
AZ,2024-001,Joe Biden,1501,6058,0.24777154176295807
OH,2024-001,Donald J. Trump,1211,2158,0.5611677479147359
WA,2024-001,Donald J. Trump,1170,2166,0.5401662049861495
KY,2024-001,Donald J. Trump,991,1668,0.5941247002398081
CA,2024-001,Third-Party Candidate,980,7660,0.1279373368146214
CA,2024-001,Wouldn't vote,820,7660,0.10704960835509138
CA,2024-001,Don't know,815,7660,0.10639686684073107
NC,2024-001,Joe Biden,770,4982,0.15455640305098353
AZ,2024-001,Wouldn't vote,760,6058,0.12545394519643446
OK,2024-001,Donald J. Trump,726,1553,0.46748229233741145
AR,2024-001,Donald J. Trump,667,1189,0.5609756097560976
AZ,2024-001,Third-Party Candidate,661,6058,0.10911191812479366
SC,2024-001,Donald J. Trump,660,1146,0.5759162303664922
WV,2024-001,Donald J. Trump,653,962,0.6787941787941788
PA,2024-001,Donald J. Trump,536,920,0.5826086956521739
TX,2024-001,Donald J. Trump,522,882,0.5918367346938775
NC,2024-001,Don't know,515,4982,0.10337213970293055
AZ,2024-001,Don't know,497,6058,0.08204027731924728
IL,2024-001,Donald J. Trump,491,844,0.5817535545023697
NC,2024-001,Wouldn't vote,474,4982,0.0951425130469691
AL,2024-001,Donald J. Trump,408,771,0.5291828793774319
NC,2024-001,Third-Party Candidate,365,4982,0.0732637494981935
NY,2024-001,Donald J. Trump,349,626,0.5575079872204473
OR,2024-001,Donald J. Trump,330,665,0.49624060150375937
NE,2024-001,Donald J. Trump,326,710,0.4591549295774648
MI,2024-001,Donald J. Trump,324,570,0.5684210526315789
MA,2024-001,Donald J. Trump,305,565,0.5398230088495575
CO,2024-001,Donald J. Trump,291,545,0.5339449541284403
WA,2024-001,Third-Party Candidate,278,2166,0.1283471837488458
OH,2024-001,Joe Biden,267,2158,0.123725671918443
WA,2024-001,Joe Biden,263,2166,0.12142197599261312
WA,2024-001,Wouldn't vote,260,2166,0.12003693444136658
GA,2024-001,Donald J. Trump,257,414,0.6207729468599034
OK,2024-001,Joe Biden,253,1553,0.16291049581455247
OH,2024-001,Wouldn't vote,252,2158,0.11677479147358666
VA,2024-001,Donald J. Trump,248,431,0.5754060324825986
OK,2024-001,Wouldn't vote,229,1553,0.14745653573728268
OH,2024-001,Third-Party Candidate,222,2158,0.10287303058387395
SD,2024-001,Donald J. Trump,222,531,0.4180790960451977
KY,2024-001,Joe Biden,204,1668,0.1223021582733813
MT,2024-001,Donald J. Trump,198,311,0.6366559485530546
OK,2024-001,Third-Party Candidate,188,1553,0.1210560206052801
KY,2024-001,Third-Party Candidate,182,1668,0.1091127098321343
KY,2024-001,Wouldn't vote,181,1668,0.10851318944844125
OH,2024-001,Don't know,177,2158,0.08202038924930491
AR,2024-001,Joe Biden,169,1189,0.1421362489486964
WA,2024-001,Don't know,160,2166,0.07386888273314866
FL,2024-001,Donald J. Trump,155,244,0.6352459016393442
SC,2024-001,Joe Biden,149,1146,0.1300174520069808
OK,2024-001,Don't know,144,1553,0.0927237604636188
PA,2024-001,Wouldn't vote,130,920,0.14130434782608695
AR,2024-001,Third-Party Candidate,127,1189,0.10681244743481917
AR,2024-001,Wouldn't vote,121,1189,0.10176619007569386
NJ,2024-001,Donald J. Trump,116,214,0.5420560747663551
ME,2024-001,Donald J. Trump,115,201,0.572139303482587
SC,2024-001,Don't know,113,1146,0.09860383944153578
SC,2024-001,Wouldn't vote,113,1146,0.09860383944153578
PA,2024-001,Joe Biden,112,920,0.12173913043478261
TX,2024-001,Joe Biden,112,882,0.12698412698412698
NE,2024-001,Joe Biden,109,710,0.15352112676056337
NE,2024-001,Wouldn't vote,109,710,0.15352112676056337
TX,2024-001,Wouldn't vote,108,882,0.12244897959183673
IL,2024-001,Joe Biden,106,844,0.12559241706161137
UT,2024-001,Donald J. Trump,105,174,0.603448275862069
AL,2024-001,Joe Biden,103,771,0.13359273670557717
OR,2024-001,Third-Party Candidate,103,665,0.1548872180451128
IL,2024-001,Don't know,102,844,0.12085308056872038
KY,2024-001,Don't know,101,1668,0.0605515587529976
MA,2024-001,Joe Biden,101,565,0.17876106194690267
OR,2024-001,Joe Biden,100,665,0.15037593984962405
SC,2024-001,Third-Party Candidate,98,1146,0.08551483420593368
WV,2024-001,Wouldn't vote,97,962,0.10083160083160084
NH,2024-001,Donald J. Trump,93,168,0.5535714285714286
SD,2024-001,Joe Biden,92,531,0.17325800376647835
AL,2024-001,Third-Party Candidate,91,771,0.11802853437094682
AR,2024-001,Don't know,90,1189,0.07569386038687972
NE,2024-001,Third-Party Candidate,90,710,0.1267605633802817
NY,2024-001,Joe Biden,89,626,0.14217252396166133
SD,2024-001,Wouldn't vote,88,531,0.1657250470809793
MO,2024-001,Donald J. Trump,87,159,0.5471698113207547
NM,2024-001,Donald J. Trump,87,174,0.5
0_ALL_STATES,2024-001,"Don't know, Donald J. Trump",84,40121,0.0020936666583584655
MI,2024-001,Joe Biden,82,570,0.14385964912280702
OR,2024-001,Wouldn't vote,82,665,0.12330827067669173
AL,2024-001,Wouldn't vote,78,771,0.10116731517509728
NY,2024-001,Wouldn't vote,78,626,0.12460063897763578
AL,2024-001,Don't know,76,771,0.09857328145265888
0_ALL_STATES,2024-001,"Donald J. Trump, Wouldn't vote",75,40121,0.0018693452306772014
TX,2024-001,Don't know,75,882,0.08503401360544217
WV,2024-001,Third-Party Candidate,74,962,0.07692307692307693
PA,2024-001,Third-Party Candidate,73,920,0.07934782608695652
CO,2024-001,Wouldn't vote,72,545,0.13211009174311927
IN,2024-001,Donald J. Trump,71,119,0.5966386554621849
WV,2024-001,Joe Biden,71,962,0.07380457380457381
IL,2024-001,Wouldn't vote,70,844,0.08293838862559241
0_ALL_STATES,2024-001,"Don't know, Wouldn't vote",68,40121,0.0016948730091473293
MA,2024-001,Wouldn't vote,68,565,0.12035398230088495
NE,2024-001,Don't know,67,710,0.09436619718309859
0_ALL_STATES,2024-001,"Donald J. Trump, Joe Biden",66,40121,0.0016450238029959373
CO,2024-001,Joe Biden,65,545,0.11926605504587157
SD,2024-001,Third-Party Candidate,64,531,0.12052730696798493
0_ALL_STATES,2024-001,"Donald J. Trump, Third-Party Candidate",59,40121,0.0014705515814660652
MI,2024-001,Wouldn't vote,59,570,0.10350877192982456
PA,2024-001,Don't know,59,920,0.0641304347826087
CO,2024-001,Third-Party Candidate,58,545,0.10642201834862386
IL,2024-001,Third-Party Candidate,58,844,0.06872037914691943
CO,2024-001,Don't know,57,545,0.10458715596330276
GA,2024-001,Wouldn't vote,56,414,0.13526570048309178
TX,2024-001,Third-Party Candidate,55,882,0.06235827664399093
NY,2024-001,Don't know,54,626,0.08626198083067092
VA,2024-001,Wouldn't vote,54,431,0.12529002320185614
0_ALL_STATES,2024-001,"Don't know, Joe Biden",52,40121,0.001296079359936193
WV,2024-001,Don't know,52,962,0.05405405405405406
MI,2024-001,Third-Party Candidate,51,570,0.08947368421052632
NY,2024-001,Third-Party Candidate,51,626,0.08146964856230032
OR,2024-001,Don't know,49,665,0.07368421052631578
GA,2024-001,Joe Biden,47,414,0.11352657004830918
SD,2024-001,Don't know,47,531,0.08851224105461393
WI,2024-001,Donald J. Trump,47,105,0.44761904761904764
VA,2024-001,Joe Biden,46,431,0.10672853828306264
MI,2024-001,Don't know,45,570,0.07894736842105263
MA,2024-001,Third-Party Candidate,42,565,0.0743362831858407
VA,2024-001,Don't know,42,431,0.09744779582366589
0_ALL_STATES,2024-001,"Joe Biden, Third-Party Candidate",36,40121,0.0008972857107250567
MA,2024-001,Don't know,36,565,0.06371681415929203
VA,2024-001,Third-Party Candidate,36,431,0.08352668213457076
MT,2024-001,Third-Party Candidate,35,311,0.11254019292604502
0_ALL_STATES,2024-001,"Don't know, Third-Party Candidate",33,40121,0.0008225119014979687
0_ALL_STATES,2024-001,"Joe Biden, Wouldn't vote",33,40121,0.0008225119014979687
0_ALL_STATES,2024-001,"Third-Party Candidate, Wouldn't vote",32,40121,0.0007975872984222727
MT,2024-001,Wouldn't vote,31,311,0.09967845659163987
NJ,2024-001,Joe Biden,30,214,0.14018691588785046
NJ,2024-001,Wouldn't vote,30,214,0.14018691588785046
GA,2024-001,Don't know,27,414,0.06521739130434782
NM,2024-001,Wouldn't vote,27,174,0.15517241379310345
FL,2024-001,Joe Biden,26,244,0.10655737704918032
MT,2024-001,Joe Biden,26,311,0.08360128617363344
ME,2024-001,Joe Biden,25,201,0.12437810945273632
MO,2024-001,Wouldn't vote,25,159,0.15723270440251572
NH,2024-001,Third-Party Candidate,25,168,0.1488095238095238
ME,2024-001,Third-Party Candidate,24,201,0.11940298507462686
MD,2024-001,Donald J. Trump,22,47,0.46808510638297873
NM,2024-001,Joe Biden,22,174,0.12643678160919541
FL,2024-001,Third-Party Candidate,21,244,0.0860655737704918
FL,2024-001,Wouldn't vote,21,244,0.0860655737704918
IA,2024-001,Donald J. Trump,21,49,0.42857142857142855
NJ,2024-001,Don't know,21,214,0.09813084112149532
WI,2024-001,Joe Biden,21,105,0.2
GA,2024-001,Third-Party Candidate,20,414,0.04830917874396135
NH,2024-001,Wouldn't vote,20,168,0.11904761904761904
AZ,2024-001,"Donald J. Trump, Wouldn't vote",19,6058,0.0031363486299108615
MS,2024-001,Donald J. Trump,19,25,0.76
UT,2024-001,Joe Biden,19,174,0.10919540229885058
ME,2024-001,Don't know,18,201,0.08955223880597014
NH,2024-001,Joe Biden,18,168,0.10714285714285714
UT,2024-001,Third-Party Candidate,18,174,0.10344827586206896
UT,2024-001,Wouldn't vote,18,174,0.10344827586206896
FL,2024-001,Don't know,17,244,0.06967213114754098
MO,2024-001,Joe Biden,17,159,0.1069182389937107
NM,2024-001,Third-Party Candidate,17,174,0.09770114942528736
CA,2024-001,"Don't know, Donald J. Trump",16,7660,0.0020887728459530026
IN,2024-001,Wouldn't vote,16,119,0.13445378151260504
MT,2024-001,Don't know,16,311,0.05144694533762058
NM,2024-001,Don't know,16,174,0.09195402298850575
WI,2024-001,Wouldn't vote,16,105,0.1523809523809524
IN,2024-001,Joe Biden,15,119,0.12605042016806722
ME,2024-001,Wouldn't vote,15,201,0.07462686567164178
MO,2024-001,Don't know,15,159,0.09433962264150944
NJ,2024-001,Third-Party Candidate,15,214,0.07009345794392523
CA,2024-001,"Don't know, Joe Biden",13,7660,0.0016971279373368146
KS,2024-001,Donald J. Trump,13,37,0.35135135135135137
MD,2024-001,Joe Biden,13,47,0.2765957446808511
NC,2024-001,"Don't know, Donald J. Trump",13,4982,0.002609393817743878
NC,2024-001,"Donald J. Trump, Wouldn't vote",13,4982,0.002609393817743878
NV,2024-001,Donald J. Trump,13,26,0.5
UT,2024-001,Don't know,13,174,0.07471264367816093
AZ,2024-001,"Joe Biden, Wouldn't vote",12,6058,0.0019808517662594917
MO,2024-001,Third-Party Candidate,12,159,0.07547169811320754
NH,2024-001,Don't know,12,168,0.07142857142857142
AZ,2024-001,"Don't know, Donald J. Trump",11,6058,0.0018157807857378673
AZ,2024-001,"Don't know, Wouldn't vote",11,6058,0.0018157807857378673
AZ,2024-001,"Donald J. Trump, Joe Biden",11,6058,0.0018157807857378673
AZ,2024-001,"Joe Biden, Third-Party Candidate",11,6058,0.0018157807857378673
CA,2024-001,"Don't know, Wouldn't vote",11,7660,0.0014360313315926892
NC,2024-001,"Don't know, Wouldn't vote",11,4982,0.0022079486150140505
NC,2024-001,"Donald J. Trump, Joe Biden",11,4982,0.0022079486150140505
WI,2024-001,Third-Party Candidate,11,105,0.10476190476190476